x_years,ne_main,ne_q025,ne_q500,ne_q975,ne_true,covered
2265.82301,1037.95775,914.737496,1002.73976,1145.90162,1000.0,1
4716.63516,1037.95775,914.737496,1002.73976,1145.90162,1000.0,1
7367.53956,1037.95775,914.737496,1002.73976,1145.90162,1000.0,1
10234.8724,2520.47882,1253.26354,2543.22878,3058.69941,5000.0,0
13336.3036,2520.47882,2138.59426,2557.41742,3058.69941,5000.0,0
16690.9457,3742.1293,2794.21499,4013.3601,4482.74022,5000.0,0
20319.4716,3742.1293,3512.23397,4017.45511,4482.74022,5000.0,0
24244.2422,4052.35302,3727.87296,4178.98341,4517.22026,5000.0,0
28489.4437,4052.35302,3793.07426,4188.3381,4517.22026,5000.0,0
33081.2373,4642.13838,4225.98074,4549.15035,4932.42496,5000.0,0
38047.9198,4642.13838,4276.86333,4553.52643,4932.42496,5000.0,0
43420.0983,6493.26073,4879.48676,6188.47091,6698.29066,5000.0,1
49230.8789,6493.26073,5799.82748,6194.76606,6698.29066,5000.0,0
55516.0705,10577.1313,6998.89761,10199.5128,10836.0888,5000.0,0
62314.4056,10577.1313,9535.02322,10219.5687,10836.0888,20000.0,0
69667.7787,16429.9119,11419.6226,16414.1522,17689.4217,20000.0,0
77621.5051,16429.9119,15393.8398,16503.4296,17689.4217,20000.0,0
86224.5994,20431.8785,19783.9614,20994.4686,22385.4948,20000.0,1
95530.0783,20431.8785,19966.4788,21049.2142,22385.4948,20000.0,1
105595.287,19542.1854,19542.9387,20446.8572,21367.8683,20000.0,1
116482.251,19542.1854,19542.9387,20446.8572,21226.6341,20000.0,1
128258.063,15126.8276,15398.3674,15817.7909,16235.6593,20000.0,0
140995.29,15126.8276,15398.3674,15817.7909,16235.6593,20000.0,0
154772.426,10591.5002,10718.1791,10915.9917,11188.4155,20000.0,0
169674.372,10591.5002,10718.1791,10915.9917,11188.4155,20000.0,0
185792.96,7443.98969,7427.39885,7558.00485,7703.06033,20000.0,0
203227.523,7443.98969,7427.39885,7558.00485,7703.06033,5000.0,0
222085.5,5660.67869,5599.03491,5688.96328,5765.92277,5000.0,0
242483.103,5660.67869,5599.03491,5688.96328,5765.92277,5000.0,0
264546.033,4788.00998,4724.81586,4787.13066,4843.16591,5000.0,0
288410.252,4788.00998,4724.81586,4787.13066,4843.16591,5000.0,0
314222.823,4461.45789,4407.30169,4461.91568,4528.60882,5000.0,0
342142.817,4461.45789,4407.30169,4461.91568,4528.60882,5000.0,0
372342.289,4441.27277,4387.96317,4446.19485,4521.03238,5000.0,0
405007.343,4441.27277,4387.96317,4446.19485,4521.03238,5000.0,0
440339.279,4579.05826,4512.24071,4580.1563,4667.26023,5000.0,0
478555.829,4579.05826,4512.24071,4580.1563,4667.26023,5000.0,0
519892.501,4824.61243,4748.6895,4812.67914,4902.54118,5000.0,0
564604.034,4824.61243,4748.6895,4812.67914,4902.54118,5000.0,0
612965.961,5182.7124,5086.96825,5165.66684,5284.6481,5000.0,0
665276.312,5182.7124,5086.96825,5165.66684,5284.6481,5000.0,0
721857.451,5682.91941,5565.91969,5685.29332,5827.84832,5000.0,0
783058.057,5682.91941,5565.91969,5685.29332,5827.84832,5000.0,0
849255.278,6303.97098,6186.97133,6341.2428,6525.71644,5000.0,0
920857.056,6303.97098,6186.97133,6341.2428,6525.71644,5000.0,0
998304.635,6985.66975,6566.3512,7069.98772,7299.82115,5000.0,0
1082075.29,6985.66975,6901.92678,7088.43717,7304.637,10000.0,0
1172685.24,7608.08169,7339.82333,7731.08375,7995.07553,10000.0,0
1270692.89,7608.08169,7581.48095,7777.97918,8015.00476,10000.0,0
1376702.2,7958.02011,7949.09562,8125.32768,8382.36426,10000.0,0
1491366.46,7958.02011,7949.09562,8148.11593,8407.97797,10000.0,0
1615392.27,7881.52772,7858.02819,8086.50713,8382.64068,10000.0,0
1749543.96,7881.52772,7858.02819,8086.50713,8327.52795,10000.0,0
1894648.23,7245.46825,7157.83923,7366.4424,8316.0796,10000.0,0
2051599.27,7245.46825,7157.83923,7366.4424,7617.02126,5000.0,0
2221364.31,7245.46825,7157.83923,7366.4424,7617.02126,5000.0,0
2404989.52,7245.46825,7157.83923,7366.4424,7617.02126,5000.0,0
2603606.49,6159.92039,5968.50153,6150.74354,7617.02126,5000.0,0
2818439.19,6159.92039,5968.50153,6146.87552,6348.53918,5000.0,0
3050811.52,6159.92039,5968.50153,6146.87552,6348.53918,5000.0,0
3302155.49,6159.92039,5968.50153,6146.87552,6348.53918,5000.0,0
3574019.99,6159.92039,5968.50153,6146.87552,6348.53918,5000.0,0
3868080.4,6159.92039,5968.50153,6146.87552,6348.53918,5000.0,0
